team,logo,spi,offense,defense,group_first,group_second,group_third,round_16,qtrs,semis,finals,champs,updated
Manchester City,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/382.png&amp;w=56,93.9,2.9,0.2,0.6544,0.3294,0.01535,0.9838,0.7649,0.5489999999999999,0.36995,0.2265,2021-10-19 16:59:00
Bayern Munich,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/132.png&amp;w=56,93.0,3.5,0.5,0.8802,0.10115,0.01845,0.98135,0.7467,0.51905,0.34365,0.2091,2021-10-19 16:59:00
Liverpool,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/364.png&amp;w=56,90.6,3.0,0.5,0.94395,0.05005,0.006,0.994,0.725,0.44235,0.24675,0.1272,2021-10-19 16:59:00
Ajax,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/139.png&amp;w=56,88.9,3.1,0.6,0.89625,0.09945,0.0043,0.9957,0.6564,0.3732,0.1994,0.0976,2021-10-19 16:59:00
Chelsea,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/363.png&amp;w=56,87.5,2.3,0.3,0.41975,0.4823,0.0953,0.90205,0.5287,0.27165,0.13075,0.05925,2021-10-19 16:59:00
Real Madrid,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/86.png&amp;w=56,86.2,2.7,0.6,0.75315,0.19675,0.043,0.9499,0.5441,0.2676,0.12655,0.0567,2021-10-19 16:59:00
Paris Saint-Germain,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/160.png&amp;w=56,83.2,2.5,0.7,0.3386,0.57815,0.06975,0.91675,0.4385,0.1945,0.0817,0.03375,2021-10-19 16:59:00
Atletico Madrid,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/1068.png&amp;w=56,85.1,2.2,0.4,0.03805,0.55505,0.348,0.5931,0.28725,0.13825,0.05845,0.02495,2021-10-19 16:59:00
Borussia Dortmund,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/124.png&amp;w=56,81.9,2.6,0.8,0.09855,0.7465,0.15275,0.84505,0.3691,0.15155,0.05815,0.02135,2021-10-19 16:59:00
Manchester United,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/360.png&amp;w=56,81.9,2.3,0.6,0.3786,0.2804,0.22185,0.659,0.3303,0.1398,0.0504,0.02,2021-10-19 16:59:00
Internazionale,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/110.png&amp;w=56,81.9,2.5,0.7,0.2017,0.5598,0.1895,0.7615,0.30785,0.12635,0.05055,0.01905,2021-10-19 16:59:00
Barcelona,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/83.png&amp;w=56,85.0,2.5,0.6,0.0183,0.32195,0.54975,0.34025,0.16675,0.0836,0.03725,0.01665,2021-10-19 16:59:00
Sevilla FC,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/243.png&amp;w=56,80.7,2.0,0.4,0.30495,0.3555,0.2185,0.66045,0.27675,0.1076,0.03875,0.01485,2021-10-19 16:59:00
Juventus,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/111.png&amp;w=56,78.5,2.3,0.7,0.51295,0.34735,0.1387,0.8603,0.3383,0.1199,0.0407,0.01395,2021-10-19 16:59:00
FC Salzburg,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/2790.png&amp;w=56,78.4,2.5,0.9,0.4773,0.2715,0.17655,0.7488,0.3083,0.113,0.0388,0.0133,2021-10-19 16:59:00
Benfica,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/1929.png&amp;w=56,78.6,2.2,0.7,0.1009999999999999,0.5524,0.3051,0.6534,0.25075,0.0929,0.03135,0.01225,2021-10-19 16:59:00
Atalanta,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/105.png&amp;w=56,78.7,2.4,0.8,0.4025,0.28615,0.2085,0.68865,0.2736,0.09965,0.03575,0.0116,2021-10-19 16:59:00
FC Porto,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/437.png&amp;w=56,78.2,2.2,0.7,0.0179,0.35225,0.50795,0.37015,0.1389,0.0524,0.01855,0.0069,2021-10-19 16:59:00
Villarreal,https://secure.espn.com/combiner/i?img=/i/teamlogos/soccer/500/102.png&amp;w=56,77.5,2.0,0.6,0.11705,0.22645,0.2927,0.3435,0.12645,0.0438,0.0141,0.005,2021-10-19 16:59:00
