team,elo,record,full_elo,proj_record,proj_point_diff,make_playoffs,make_finals,win_finals,updated
Bucks,1669,1-0,1689,57-25,6.395535365853657,0.98954,0.3760178818745716,0.2329976017881874,2021-10-20 00:52:00
Clippers,1594,,1664,48-34,2.5638075609756097,0.8167399999999999,0.2336166132333181,0.1310433616613233,2021-10-20 00:52:00
76ers,1654,,1663,53-29,4.805417804878049,0.96292,0.1752165602184974,0.0896575216560218,2021-10-20 00:52:00
Suns,1651,,1642,53-29,4.80982512195122,0.94756,0.1797540617968818,0.0864179754061796,2021-10-20 00:52:00
Jazz,1640,,1646,54-28,5.113293170731708,0.9563,0.174734151821034,0.0835374734151821,2021-10-20 00:52:00
Nuggets,1595,,1633,50-32,3.5470814634146337,0.88294,0.1452481568221071,0.0690345248156822,2021-10-20 00:52:00
Nets,1610,0-1,1666,49-33,2.8803634146341466,0.87582,0.124284810586239,0.0659524284810586,2021-10-20 00:52:00
Celtics,1595,,1610,49-33,2.8790819512195123,0.8684200000000001,0.1271263067231386,0.0640527126306723,2021-10-20 00:52:00
Hawks,1621,,1616,51-31,3.7131136585365856,0.91874,0.0966428687229584,0.0436696642868722,2021-10-20 00:52:00
Mavericks,1608,,1608,49-33,3.1726500000000004,0.85,0.0743377636907164,0.028227433776369,2021-10-20 00:52:00
Trail Blazers,1620,,1605,48-34,2.8483870731707315,0.8221200000000001,0.064435687376816,0.0250664435687376,2021-10-20 00:52:00
Pelicans,1531,,1600,47-35,2.270172682926829,0.76768,0.0578541788570697,0.0221057854178857,2021-10-20 00:52:00
Heat,1546,,1565,44-38,1.2313070731707316,0.68888,0.0419909783341107,0.0166841990978334,2021-10-20 00:52:00
Lakers,1519,0-1,1541,41-41,0.1241931707317073,0.45022,0.0362683094179545,0.0142636268309417,2021-10-20 00:52:00
Pacers,1551,,1553,44-38,1.0753095121951222,0.6655,0.0197466996274916,0.0068619746699627,2021-10-20 00:52:00
Knicks,1555,,1555,43-39,0.7967063414634147,0.6321399999999999,0.0172257614850094,0.0052417225761485,2021-10-20 00:52:00
Grizzlies,1551,,1559,43-39,0.98889,0.5835600000000001,0.018485607309887,0.0050018485607309,2021-10-20 00:52:00
Raptors,1461,,1536,41-41,-0.1210736585365853,0.5010600000000001,0.0135044209045367,0.0044813504420904,2021-10-20 00:52:00
Warriors,1535,1-0,1488,37-45,-1.6917273170731708,0.22582,0.0056417441328807,0.0019005641744132,2021-10-20 00:52:00
Timberwolves,1526,,1526,40-42,-0.2439712195121951,0.40592,0.0066425003596402,0.0013206642500359,2021-10-20 00:52:00
Wizards,1526,,1497,38-44,-1.242848292682927,0.3337,0.0039015321331701,0.0010203901532133,2021-10-20 00:52:00
Bulls,1512,,1503,38-44,-1.0272987804878049,0.36008,0.0031815261683372,0.0008003181526168,2021-10-20 00:52:00
Spurs,1486,,1483,36-46,-1.834529024390244,0.19874,0.0019408878367461,0.0003601940887836,2021-10-20 00:52:00
Hornets,1467,,1467,34-48,-2.593457073170732,0.1735,0.0013206817118003,0.0002801320681711,2021-10-20 00:52:00
Kings,1453,,1453,32-50,-3.2026860975609748,0.0913,0.0012403975958442,0.0002201240397595,2021-10-20 00:52:00
Cavaliers,1371,,1371,25-57,-6.290367073170732,0.013,2.0019311757777365e-05,1e-21,2021-10-20 00:52:00
Pistons,1365,,1359,24-58,-6.584854390243902,0.00914,1e-17,1e-21,2021-10-20 00:52:00
Magic,1314,,1365,24-58,-6.795327804878048,0.0075599999999999,2.000928224466252e-05,1e-21,2021-10-20 00:52:00
Rockets,1314,,1314,20-62,-8.556942195121952,0.00074,1e-17,1e-21,2021-10-20 00:52:00
Thunder,1297,,1297,19-63,-9.030052439024391,0.00036,1e-17,1e-21,2021-10-20 00:52:00
Bucks,1669,1-0,1689,57-25,6.407688292682924,0.99016,0.3776182738987716,0.2318977618273899,2021-10-20 15:14:00
Clippers,1594,,1664,48-34,2.5717680487804886,0.81908,0.2370166192391181,0.1324237016619239,2021-10-20 15:14:00
76ers,1654,,1663,53-29,4.79783243902439,0.96158,0.1757161142196974,0.0899375716114219,2021-10-20 15:14:00
Suns,1651,,1642,53-29,4.817105609756098,0.9465,0.1794541517990818,0.0873579454151799,2021-10-20 15:14:00
Jazz,1642,,1646,54-28,5.1072924390243895,0.9568,0.172153893787834,0.0813372153893787,2021-10-20 15:14:00
Nuggets,1595,,1633,50-32,3.543219512195121,0.88446,0.1437881688863072,0.0679743788168886,2021-10-20 15:14:00
Nets,1610,0-1,1666,49-33,2.902502926829268,0.8799,0.122344746597439,0.0668722344746597,2021-10-20 15:14:00
Celtics,1594,,1610,49-33,2.8703943902439017,0.86866,0.1260059486343387,0.0634326005948634,2021-10-20 15:14:00
Hawks,1621,,1616,51-31,3.730349024390244,0.9161,0.0966631927453584,0.0427696663192745,2021-10-20 15:14:00
Mavericks,1608,,1608,49-33,3.160024146341464,0.8487600000000001,0.0745977116233164,0.0294074597711623,2021-10-20 15:14:00
Trail Blazers,1620,,1605,48-34,2.823230975609756,0.82004,0.063515833372016,0.0244663515833372,2021-10-20 15:14:00
Pelicans,1530,,1600,47-35,2.282719756097561,0.76672,0.0602743988568697,0.0237860274398856,2021-10-20 15:14:00
Heat,1546,,1565,44-38,1.2360273170731708,0.68766,0.0426310443579107,0.0164042631044357,2021-10-20 15:14:00
Lakers,1519,0-1,1541,41-41,0.1275341463414634,0.45298,0.0361083074315545,0.0141036108307431,2021-10-20 15:14:00
Pacers,1533,,1553,44-38,1.0768258536585364,0.66238,0.0199666076144916,0.0068419966607614,2021-10-20 15:14:00
Knicks,1551,,1555,43-39,0.7796890243902439,0.6304,0.0167857274704094,0.005601678572747,2021-10-20 15:14:00
Grizzlies,1551,,1559,43-39,0.9639034146341464,0.58272,0.0180856513382869,0.0049818085651338,2021-10-20 15:14:00
Raptors,1461,,1536,41-41,-0.0993365853658536,0.50484,0.0134445729227367,0.0045613444572922,2021-10-20 15:14:00
Timberwolves,1500,,1526,40-42,-0.2794873170731708,0.40306,0.0067623963308402,0.001700676239633,2021-10-20 15:14:00
Warriors,1535,1-0,1488,37-45,-1.688779512195122,0.22556,0.0054017181262807,0.0015405401718126,2021-10-20 15:14:00
Bulls,1512,,1503,38-44,-1.0585453658536583,0.35474,0.0034815461501372,0.000960348154615,2021-10-20 15:14:00
Wizards,1526,,1497,38-44,-1.2282712195121952,0.3364,0.0036014941515701,0.0008003601494151,2021-10-20 15:14:00
Spurs,1490,,1483,36-46,-1.8097134146341465,0.20138,0.0019808138501461,0.000500198081385,2021-10-20 15:14:00
Hornets,1457,,1467,34-48,-2.589091463414634,0.17784,0.0018607537246003,0.0003601860753724,2021-10-20 15:14:00
Kings,1453,,1453,32-50,-3.2003360975609763,0.09084,0.0010603936086442,0.0001801060393608,2021-10-20 15:14:00
Cavaliers,1371,,1371,25-57,-6.319262926829269,0.01208,2.0013311757777373e-05,1.0000000000000001e-21,2021-10-20 15:14:00
Pistons,1370,,1359,24-58,-6.555640975609754,0.00948,4.001534058865497e-05,1.0000000000000001e-21,2021-10-20 15:14:00
Magic,1314,,1365,24-58,-6.792207073170731,0.00778,2.001128304466252e-05,1.0000000000000001e-21,2021-10-20 15:14:00
Rockets,1318,,1314,20-62,-8.553533170731706,0.0006799999999999,1e-17,1.0000000000000001e-21,2021-10-20 15:14:00
Thunder,1297,,1297,19-63,-9.023902195121948,0.00042,1e-17,1.0000000000000001e-21,2021-10-20 15:14:00
Bucks,1669,1-0,1689,57-25,6.393167317073171,0.98994,0.3755576718799716,0.234657555767188,2021-10-21 00:40:00
Clippers,1594,,1664,48-34,2.5541690243902444,0.81488,0.240856913264318,0.1328440856913264,2021-10-21 00:40:00
76ers,1661,1-0,1670,54-28,5.258146829268293,0.97166,0.1997799425784429,0.1064999779942578,2021-10-21 00:40:00
Jazz,1642,1-0,1647,54-28,5.208844634146342,0.9594,0.1818755219503877,0.084538187552195,2021-10-21 00:40:00
Nuggets,1603,1-0,1639,51-31,4.024401219512195,0.91678,0.1677317373694513,0.0800567731737369,2021-10-21 00:40:00
Suns,1642,0-1,1634,52-30,4.252317804878049,0.92086,0.1518100873199376,0.0696351810087319,2021-10-21 00:40:00
Nets,1610,0-1,1666,49-33,2.8851678048780487,0.8717600000000001,0.118964466604839,0.0639118964466604,2021-10-21 00:40:00
Celtics,1609,0-1,1609,48-34,2.8066114634146344,0.8541,0.1155242604712133,0.0582915524260471,2021-10-21 00:40:00
Hawks,1621,,1616,51-31,3.7194873170731695,0.91688,0.0910828527245584,0.0410891082852724,2021-10-21 00:40:00
Mavericks,1608,,1608,49-33,3.15111243902439,0.8474,0.0761780377039164,0.0299676178037703,2021-10-21 00:40:00
Trail Blazers,1607,0-1,1601,47-35,2.5115012195121937,0.77886,0.0577343090446962,0.0210657734309044,2021-10-21 00:40:00
Pelicans,1527,0-1,1597,46-36,1.935738048780488,0.73732,0.0533132546859242,0.0196853313254686,2021-10-21 00:40:00
Heat,1546,,1565,44-38,1.221301219512195,0.6864399999999999,0.0412107603137107,0.0171841210760313,2021-10-21 00:40:00
Lakers,1519,0-1,1541,41-41,0.1221543902439024,0.45,0.0360682794223545,0.0140636068279422,2021-10-21 00:40:00
Pacers,1551,0-1,1553,43-39,1.0654136585365852,0.64146,0.0188061034934874,0.0058418806103493,2021-10-21 00:40:00
Knicks,1556,1-0,1556,44-38,0.8423187804878048,0.6521600000000001,0.0174459475195347,0.0053417445947519,2021-10-21 00:40:00
