team,logo,elo,proj_record,proj_point_diff,make_playoffs,win_division,first_round_bye,win_superbowl,updated,make_div_round,make_conf_champ,make_superbowl
Buccaneers,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/tb.png&amp;w=56&amp;h=56,1683.0,13-4,146.08626,0.9663,0.82994,0.23712,0.15008,2021-10-21 10:35:00,,,
Ravens,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/bal.png&amp;w=56&amp;h=56,1655.0,13-4,120.39962,0.95034,0.74434,0.43446,0.14232,2021-10-21 10:35:00,,,
Bills,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/buf.png&amp;w=56&amp;h=56,1659.0,12-5,204.37652,0.97042,0.93336,0.229,0.12752,2021-10-21 10:35:00,,,
Cardinals,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/ari.png&amp;w=56&amp;h=56,1646.0,14-3,163.89902,0.9796,0.6895399999999999,0.3918,0.12208,2021-10-21 10:35:00,,,
Rams,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/lar.png&amp;w=56&amp;h=56,1644.0,12-5,118.65506,0.93874,0.28474,0.14864,0.09246,2021-10-21 10:35:00,,,
Cowboys,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/dal.png&amp;w=56&amp;h=56,1613.0,12-5,110.98142,0.92994,0.8917200000000001,0.10476,0.0654,2021-10-21 10:35:00,,,
Packers,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/gb.png&amp;w=56&amp;h=56,1607.0,12-5,49.57338,0.9045,0.80784,0.09258,0.0576,2021-10-21 10:35:00,,,
Chargers,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/lac.png&amp;w=56&amp;h=56,1575.0,11-6,54.67268000000001,0.8441200000000001,0.50508,0.1255599999999999,0.05586,2021-10-21 10:35:00,,,
Chiefs,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/kc.png&amp;w=56&amp;h=56,1620.0,10-7,67.48344,0.71458,0.28404,0.03492,0.0534799999999999,2021-10-21 10:35:00,,,
Titans,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/ten.png&amp;w=56&amp;h=56,1531.0,10-7,36.5784,0.84904,0.78714,0.06954,0.02448,2021-10-21 10:35:00,,,
Saints,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/no.png&amp;w=56&amp;h=56,1564.0,10-7,65.66814000000001,0.6070800000000001,0.13896,0.0179,0.02182,2021-10-21 10:35:00,,,
Browns,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/cle.png&amp;w=56&amp;h=56,1540.0,9-8,18.44248,0.4619,0.10614,0.01766,0.01502,2021-10-21 10:35:00,,,
Raiders,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/oak.png&amp;w=56&amp;h=56,1497.0,9-8,-5.94804,0.5441199999999999,0.15716,0.03424,0.01198,2021-10-21 10:35:00,,,
Bengals,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/cin.png&amp;w=56&amp;h=56,1491.0,9-8,20.75368,0.48794,0.11372,0.03864,0.01026,2021-10-21 10:35:00,,,
Vikings,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/min.png&amp;w=56&amp;h=56,1531.0,8-9,3.32516,0.38756,0.15332,0.003,0.00978,2021-10-21 10:35:00,,,
49ers,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/sf.png&amp;w=56&amp;h=56,1527.0,8-9,12.15062,0.33964,0.0157,0.00184,0.00706,2021-10-21 10:35:00,,,
Colts,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/ind.png&amp;w=56&amp;h=56,1502.0,8-9,19.06506,0.3692,0.19454,0.00298,0.00702,2021-10-21 10:35:00,,,
Seahawks,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/sea.png&amp;w=56&amp;h=56,1527.0,8-9,-3.67444,0.22178,0.01002,0.00096,0.00514,2021-10-21 10:35:00,,,
Steelers,https://secure.espn.com/combiner/i?img=/i/teamlogos/nfl/500/scoreboard/pit.png&amp;w=56&amp;h=56,1477.0,8-9,-45.42462,0.23162,0.0358,0.0066799999999999,0.0047,2021-10-21 10:35:00,,,
